id,name,housenumber,street,city,state,postcode,phone,website,opening_hours,latitude,longitude,curbside_pickup,delivery,dine_in,editorial_summary,price_level,reservable,reviews,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takesout,user_ratings_total,rating,cuisine,updated_at
40,Uotora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:32:21.141678
38,Ninja 86 Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:33:11.20168
41,Asea Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:33:11.741381
43,Momo Sushi & Ramen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:34:13.521401
42,Fujisawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:34:14.061462
44,Fujiyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:37:12.506483
45,E sushi II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:37:13.126779
47,Umi Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:39:30.606704
46,Neta Shari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:39:31.161572
48,Estihana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:46:23.921759
49,Izakaya Sushi & Loung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:46:24.461701
50,Asahi Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:49:42.861633
51,Zen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:49:43.381738
52,MeO Japanese Hibachi Kosher Sushi & Steakhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:57:39.991692
53,MoCA Asian Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 22:57:40.561944
2,Zenzo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:02:02.601331
4,Asagao Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:02:03.182854
3,Ginban Asian Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:03:09.881907
5,AJ's Sushi & Cajun Seafood Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:03:10.781592
7,Chi Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:03:15.341586
6,Pita Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:03:15.361737
8,Run Sushi Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:03:19.80181
9,Mikado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:10:49.066362
10,Koto Sushi & Steak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:10:49.602016
12,East Sushi Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:10:54.156567
11,Hibino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:10:54.18636
14,Nagoya Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:10:58.481399
13,DIY Poké Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:30:40.801811
16,U-Gu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:30:41.32199
17,Ki Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:30:45.862046
15,Kiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:30:45.881871
18,Sumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:30:50.161931
20,Sushi D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:39:55.952293
19,Koto Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:39:56.462252
22,Sushi Tatsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:00.884873
21,Kumo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:00.926512
23,Sushi Yashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:05.216869
24,Geido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:25.926889
25,Aji Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:26.407138
28,jPAN Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:30.842123
26,66S Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:31.002793
27,Sushi Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:40:35.362091
29,Yamato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:49:09.817353
30,Hiroto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:49:10.437257
